168417,6838859831.225659 32454447369.497955 68819198062.50728 94998248744.85452 133552353369.46655,136777196.62451318 324544473.69497955 688191980.6250728 949982487.4485452 1335523533.6946657
411039,2169480104.3373947 7995985967.427484 16991715910.232006 25290981743.069427 37970345855.30013,43389602.08674789 79959859.67427483 169917159.10232008 252909817.43069428 379703458.55300134
622691,4438035941.045707 18886601269.29037 40565881405.73118 61034703617.04814 92986393591.05731,88760718.82091413 188866012.69290373 405658814.0573118 610347036.1704814 929863935.9105731
375642,2733334449.5667586 6717350575.769526 12093631550.35423 17143084516.019693 25025632211.29166,54666688.991335176 67173505.75769526 120936315.5035423 171430845.16019693 250256322.11291662
528336,97380869475.41049 273549576525.9384 465833945298.06055 605059305694.2799 822305152817.9098,1947617389.50821 2735495765.2593837 4658339452.980605 6050593056.9428 8223051528.179098
547956,49424929179.54414 160406898632.9698 279327040509.5309 380316338422.61755 535068412555.9024,988498583.5908829 1604068986.3296978 2793270405.095309 3803163384.226176 5350684125.559024
411038,5714574151.06198 16799760556.5481 27826658083.11574 35604394506.38408 46085724941.72805,114291483.02123961 167997605.565481 278266580.83115745 356043945.0638408 460857249.4172805
540055,6643295815.793089 23650963340.874645 43306894468.82412 58608675316.66975 80679368559.95476,132865916.31586178 236509633.40874645 433068944.6882412 586086753.1666975 806793685.5995476
302179,611171752.3904471 4459239579.409614 12650912019.135862 20410463652.58838 33817518011.2933,12223435.047808943 44592395.794096135 126509120.19135863 204104636.5258838 338175180.11293304
325809,31333316234.546173 202841138931.6295 518051257610.7391 786345895328.3987 1227176043434.2922,626666324.6909235 2028411389.316295 5180512576.10739 7863458953.283987 12271760434.342922
240011,1190069536.8645868 6307017465.54365 15143776998.43239 22733115905.29727 33720698757.942554,23801390.73729174 63070174.6554365 151437769.98432392 227331159.05297273 337206987.5794256
254127,39718868229.61362 94202929905.54109 143055081685.50995 187294659688.14813 273237631343.94705,794377364.5922724 942029299.055411 1430550816.8550994 1872946596.8814814 2732376313.439471
322586,16340454418.469997 61879234135.67401 120993685583.8949 167449798738.35284 239635595173.85593,326809088.36939996 618792341.3567401 1209936855.838949 1674497987.3835285 2396355951.7385592
400095,1563015178.9921339 5684956444.006873 11791156894.402893 17459883408.675915 26169739507.83537,31260303.57984268 56849564.44006873 117911568.94402893 174598834.08675915 261697395.0783537
647505,11941404597.285208 35812772932.1351 60029066661.23669 78638468928.68774 106615388078.71553,238828091.94570416 358127729.321351 600290666.6123669 786384689.2868775 1066153880.7871553
353425,6519307658.642514 21475964973.658676 41489339856.51637 60060853045.005264 89329594862.7934,130386153.17285028 214759649.73658678 414893398.56516373 600608530.4500526 893295948.627934
476362,40251096657.93193 142968670854.8769 300623985737.913 454045529692.3615 718249726540.1093,805021933.1586386 1429686708.548769 3006239857.3791304 4540455296.923615 7182497265.401093
17252,4315952936.357424 35261160922.56385 104053341500.24385 170616505846.65924 288812672635.7479,86319058.72714847 352611609.2256385 1040533415.0024385 1706165058.4665926 2888126726.357479
396468,1827464758.0644922 7442282379.460293 15023595751.796392 21451763102.141216 31406265286.71865,36549295.16128985 74422823.79460293 150235957.51796392 214517631.02141216 314062652.8671865
501796,8699776714.96248 22783313049.6834 32545849207.626835 40073775798.379036 50837991546.40903,173995534.29924962 227833130.496834 325458492.0762684 400737757.98379034 508379915.4640903
530514,91265300797.41528 228503350009.09122 377635679119.97314 504246729234.37805 716049478939.4952,1825306015.9483056 2285033500.0909123 3776356791.1997313 5042467292.3437805 7160494789.394953
564623,32287561227.565838 84254797922.1751 139385437273.4089 187207831364.99518 265665261044.44934,645751224.5513167 842547979.221751 1393854372.7340891 1872078313.649952 2656652610.4444933
381151,6038510328.731341 29520056924.416092 65332049449.70572 96146398087.92873 144548648446.8834,120770206.57462683 295200569.24416095 653320494.4970572 961463980.8792872 1445486484.468834
308063,32092309801.140602 124854041513.263 233845978263.36615 319609555624.481 453445163588.85016,641846196.022812 1248540415.13263 2338459782.6336617 3196095556.24481 4534451635.888502
441401,33190613838.389137 70291758286.72255 87380521618.46222 98773439465.86555 122494411334.01456,663812276.7677828 702917582.8672255 873805216.1846222 987734394.6586555 1224944113.3401456
286697,22091626743.959408 119659995178.73949 265448857288.5934 370993004154.74384 534670853068.9652,441832534.8791882 1196599951.787395 2654488572.8859344 3709930041.5474386 5346708530.689652
485886,202298528887.3547 390230512620.70447 516742241919.6078 606723515642.4446 762055706218.52,4045970577.747094 3902305126.2070446 5167422419.196078 6067235156.424446 7620557062.185201
194989,2342087578.0336323 14240603922.974058 36225210059.97811 55133644734.02827 86284711834.74113,46841751.56067265 142406039.2297406 362252100.5997811 551336447.3402827 862847118.3474114
653224,2115504477.682636 11213312209.067234 26632418213.24258 39635642983.39191 59057290603.516754,42310089.55365272 112133122.09067234 266324182.1324258 396356429.83391905 590572906.0351676
624236,4732399046.34513 15966885310.325087 28488935590.285 39116301227.62128 54477910692.67103,94647980.9269026 159668853.10325086 284889355.90285003 391163012.27621275 544779106.9267102
443175,24927776792.448814 124049585050.42352 278397812267.22955 410509310149.2341 620961683328.9454,498555535.8489763 1240495850.5042353 2783978122.6722956 4105093101.4923406 6209616833.289454
493382,17355570344.701275 49820114132.32509 71635057928.89906 88475307777.0551 114743749374.27707,347111406.8940255 498201141.3232509 716350579.2889906 884753077.770551 1147437493.7427707
563467,13531266011.774132 48334097352.03269 96469408774.54482 138127040188.95364 203943059479.63718,270625320.23548263 483340973.5203269 964694087.7454481 1381270401.8895364 2039430594.7963717
41822,337160039.5160552 2061040462.980386 5789618487.362321 9608445445.960081 15516897226.358068,6743200.790321104 20610404.629803862 57896184.87362321 96084454.4596008 155168972.26358068
